nThread,iteration,time
2,1,0.01
2,2,0.01
2,3,0.01
2,4,0.01
2,5,0.01
3,1,0.01
3,2,0.02
3,3,0.01
3,4,0.02
3,5,0.01
4,1,0.04
4,2,0.04
4,3,0.04
4,4,0.04
4,5,0.05
5,1,0.04
5,2,0.04
5,3,0.04
5,4,0.05
5,5,0.04
6,1,0.06
6,2,0.04
6,3,0.06
6,4,0.05
6,5,0.06
7,1,0.07
7,2,0.06
7,3,0.05
7,4,0.06
7,5,0.06
8,1,0.09
8,2,0.08
8,3,0.09
8,4,0.08
8,5,0.08
9,1,0.10
9,2,0.11
9,3,0.11
9,4,0.10
9,5,0.11
10,1,0.11
10,2,0.11
10,3,0.10
10,4,0.10
10,5,0.11
11,1,0.13
11,2,0.12
11,3,0.12
11,4,0.12
11,5,0.12
12,1,0.13
12,2,0.15
12,3,0.15
12,4,0.15
12,5,0.14
